2026-04-08 02:54:44,427 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:54:59,796 - INFO - Analyzed: C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg - Result: {'File Name': 'photo_2026-04-08_02-53-41.jpg', 'Path': 'C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg', 'Type': 'Image', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'No', 'Blur Score': '5135.50', 'Cropped': 'No', 'Status': 'Completed'}
2026-04-08 02:54:59,805 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:54:59,807 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:55:19,299 - INFO - Analyzed: C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg - Result: {'File Name': 'photo_2026-04-08_02-53-41.jpg', 'Path': 'C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg', 'Type': 'Image', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'No', 'Blur Score': '5135.50', 'Cropped': 'No', 'Status': 'Completed'}
2026-04-08 02:55:19,303 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:55:19,304 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:55:42,972 - INFO - Results exported to logs\analysis_results_20260408_025542.csv
2026-04-08 03:03:39,475 - INFO - Analyzed: C:/Users/abhid/Downloads/abhi.html.txt - Result: {'File Name': 'abhi.html.txt', 'Path': 'C:/Users/abhid/Downloads/abhi.html.txt', 'Type': 'Unknown', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 03:03:39,663 - INFO - Analyzed: C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg - Result: {'File Name': 'photo_2026-04-08_02-53-41.jpg', 'Path': 'C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg', 'Type': 'Image', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'No', 'Blur Score': '5135.50', 'Cropped': 'No', 'Status': 'Completed'}
